"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","166","0","129","1,715","13.3","27","10","10","105","1","1","16","375.0","23.4","99.8%"
"2","Jaxon Smith-Njigba (SEA)","163","0","119","1,793","15.1","27","10","7","36","0","1","17","359.9","21.2","99.6%"
"3","Amon-Ra St. Brown (DET)","172","0","117","1,401","12.0","19","11","3","9","0","0","17","324.0","19.1","88.6%"
"4","Ja'Marr Chase (CIN)","185","0","125","1,412","11.3","15","8","3","14","0","1","16","313.6","19.6","89.5%"
"5","George Pickens (DAL)","137","0","93","1,429","15.4","22","9","0","0","0","0","17","291.9","17.2","97.8%"
"6","Chris Olave (NO)","156","0","100","1,163","11.6","11","9","1","-3","0","0","16","269.0","16.8","93.8%"
"7","Zay Flowers (BAL)","118","0","86","1,211","14.1","19","5","10","62","1","3","17","243.3","14.3","82.7%"
"8","Nico Collins (HOU)","120","0","71","1,117","15.7","18","6","2","15","1","1","15","226.2","15.1","92.5%"
"9","Davante Adams (LAR)","114","0","60","789","13.2","14","14","0","0","0","0","14","222.9","15.9","95.8%"
"10","Michael Wilson (ARI)","126","0","78","1,006","12.9","14","7","0","0","0","0","17","220.6","13.0","73.4%"
"11","A.J. Brown (PHI)","121","0","78","1,003","12.9","14","7","0","0","0","0","15","220.3","14.7","99.0%"
"12","Jameson Williams (DET)","102","0","65","1,117","17.2","23","7","6","12","0","0","17","219.9","12.9","95.9%"
"13","Courtland Sutton (DEN)","124","0","74","1,017","13.7","17","7","0","0","0","0","17","219.7","12.9","86.1%"
"14","Wan'Dale Robinson (NYG)","140","0","92","1,014","11.0","14","4","3","5","0","0","16","217.9","13.6","65.1%"
"15","Tee Higgins (CIN)","98","0","59","846","14.3","14","11","0","0","0","0","15","211.6","14.1","98.1%"
"16","Tetairoa McMillan (CAR)","122","0","70","1,014","14.5","17","7","0","0","0","1","17","211.4","12.4","84.3%"
"17","Stefon Diggs (NE)","102","0","85","1,013","11.9","17","4","0","0","0","0","17","210.3","12.4","89.9%"
"18","Michael Pittman Jr. (IND)","111","0","80","784","9.8","5","7","0","0","0","0","17","202.4","11.9","85.1%"
"19","Drake London (ATL)","112","0","68","919","13.5","13","7","0","0","0","1","12","201.9","16.8","99.0%"
"20","DeVonta Smith (PHI)","113","0","77","1,008","13.1","14","4","0","0","0","0","17","201.8","11.9","86.0%"
"21","Justin Jefferson (MIN)","141","0","84","1,048","12.5","12","2","2","7","0","0","17","201.5","11.9","99.3%"
"22","CeeDee Lamb (DAL)","117","0","75","1,077","14.4","16","3","1","2","0","0","14","200.9","14.4","99.8%"
"23","Emeka Egbuka (TB)","127","0","63","938","14.9","20","6","2","9","0","0","17","195.7","11.5","77.5%"
"24","Jaylen Waddle (MIA)","100","0","64","910","14.2","14","6","2","28","0","0","16","194.1","12.1","78.2%"
"25","Deebo Samuel Sr. (WAS)","99","0","72","727","10.1","10","5","17","75","1","0","16","188.2","11.8","91.2%"
"26","DK Metcalf (PIT)","99","0","59","850","14.4","15","6","2","12","1","0","15","187.2","12.5","87.1%"
"27","Parker Washington (JAC)","95","0","58","847","14.6","17","5","7","0","0","0","16","184.7","11.5","24.7%"
"28","Alec Pierce (IND)","84","0","47","1,003","21.3","17","6","0","0","0","0","15","183.3","12.2","41.2%"
"29","Keenan Allen (LAC)","122","0","81","777","9.6","6","4","0","0","0","0","17","182.7","10.7","60.5%"
"30","Ladd McConkey (LAC)","106","0","66","789","12.0","8","6","0","0","0","0","16","180.9","11.3","86.9%"
"31","Troy Franklin (DEN)","104","0","65","709","10.9","9","6","5","12","0","1","17","177.1","10.4","53.1%"
"32","Jakobi Meyers (JAC)","110","0","75","835","11.1","10","3","5","13","0","1","16","175.8","11.0","86.0%"
"33","Jauan Jennings (SF)","90","0","55","643","11.7","9","9","0","0","0","1","15","173.3","11.6","87.5%"
"34","Quentin Johnston (LAC)","85","0","51","735","14.4","13","8","2","7","0","1","14","171.2","12.2","48.6%"
"35","DJ Moore (CHI)","85","0","50","682","13.6","12","6","15","79","1","1","17","170.2","10.0","77.9%"
"36","Khalil Shakir (BUF)","95","0","72","719","10.0","8","4","1","5","0","1","16","166.4","10.4","81.3%"
