"71","Cam Ward","QB","TEN","17","2.5","9.8","13","5.5","9","7.9","11.2","13.8","6.4","BYE","13.1","23.9","6.3","12.1","15","18","17","9.2","11.4","193.7"
"72","Travis Kelce","TE","KC","17","12.7","10.1","6.6","9.8","19.1","13.8","8.4","21.9","12.6","BYE","24.1","8.4","15.5","1.8","14","1.6","8.6","4.2","11.4","193.2"
"73","Kenneth Walker III","RB","SEA","17","5.4","18.8","18","12","9.6","4.7","6.6","BYE","8.1","8","20.1","13.1","10.4","3.8","2.9","25.4","7.7","17.3","11.3","191.9"
"74","Geno Smith","QB","LV","15","18.5","6.2","26.1","12.8","7.9","9.7","2.8","BYE","27.3","5.4","13.9","14.2","13","9","-","15","9.1","-","12.7","190.9"
"75","Tyler Warren","TE","IND","17","14.9","11.9","6.8","18.3","14.4","18.3","16.9","9.3","7.6","17.9","BYE","9.5","11.2","3.7","4.9","6","9.3","7.6","11.1","188.5"
"76","Deebo Samuel Sr.","WR","WAS","16","22.6","17.4","4.9","20.1","23.6","5.4","-","4.2","9.4","12.9","20.7","BYE","11.1","6.7","7.3","6.5","11.3","4.1","11.8","188.2"
"77","Jake Ferguson","TE","DAL","17","7.3","16.8","21.2","17","23.9","12.3","21.9","0","8","BYE","11.6","11.1","8.6","10.8","3.6","4.9","7.6","1.5","11.1","188.1"
"78","Brandon Aubrey","K","DAL","17","11","22","8","8","7","9","17","6","5","BYE","9","7","12","23","16.6","5","17","5","11","187.6"
"79","Brock Purdy","QB","SF","9","18.8","-","-","19.7","-","-","-","-","-","-","19.3","10.3","17.1","BYE","26.2","31.9","37.9","6.2","20.8","187.4"
"80","DK Metcalf","WR","PIT","15","12.3","11","12.2","23.6","BYE","19.5","8","16.5","2.6","6.5","9.9","14.4","6.2","21.8","14.5","8.2","-","-","12.5","187.2"
"81","Harold Fannin Jr.","TE","CLE","16","13.6","9.8","5.5","4.5","11.3","15.1","7.6","18.4","BYE","8.4","4.6","8.4","11.3","25.4","12","19.5","11","-","11.7","186.4"
"82","Tony Pollard","RB","TEN","17","7.9","9.2","13.9","10.6","14.8","6.7","12.1","6.3","7.8","BYE","5.6","8.1","5.3","28.1","18.2","10.2","11.5","9.5","10.9","185.8"
"83","Dallas Goedert","TE","PHI","15","11.4","-","10.3","19.7","10.9","26","4.8","17.8","BYE","8.3","4.4","4","4.7","15.8","25","12.2","9.8","-","12.3","185.1"
"84","Parker Washington","WR","JAC","16","0","12.6","7.4","5.9","9.6","4.9","10.2","BYE","17","17.9","4","18.1","3.6","-","8.3","26.5","19","19.7","11.5","184.7"
"85","Alec Pierce","WR","IND","15","4.6","10.8","10.7","-","-","6.8","14.8","8.9","17.5","18.4","BYE","3.6","17.8","13","2.6","24.6","0","29.2","12.2","183.3"
"86","Keenan Allen","WR","LAC","17","19.8","17.1","19.5","8.7","10.8","6.7","28.9","8.4","6.1","3.9","9.3","BYE","7","5.2","8.6","9.4","2.7","10.6","10.7","182.7"
"87","Zach Charbonnet","RB","SEA","16","10.7","1","-","12.4","11.8","4.7","19.5","BYE","5.6","14.3","6.7","9.5","11.2","8.6","3.1","17.4","26.2","18.7","11.3","181.4"
"88","Ladd McConkey","WR","LAC","16","13.4","9.8","8.1","2.1","14.9","23","15.7","20.8","9.6","20.7","4.3","BYE","13.9","2.2","4","14.3","4.1","-","11.3","180.9"
"89","Juwan Johnson","TE","NO","17","15.6","15.9","11.1","5.8","3.7","1.5","12.9","10.3","12.1","19.2","BYE","10.6","8.9","7.8","7","16.9","13.5","7.1","10.6","179.9"
"90","Seattle Seahawks","DST","SEA","17","8","14","16","11","-3","11","9","BYE","9","21","2","4","30","19","4","2","10","12","10.5","179"
"91","Rhamondre Stevenson","RB","NE","14","4.7","21.2","4.6","5.1","14.7","1.8","16.8","5.9","-","-","-","2","11","BYE","10.7","17.8","27.2","35.3","12.8","178.8"
